age,job,marital,education,default,balance,housing,loan,contact,duration
56,admin.,married,secondary,no,16873,no,no,cellular,223
51,boogieman,divorced,secondary,no,203,yes,no,cellular,134
31,services,married,secondary,no,338,yes,no,cellular,155
29,technician,married,secondary,no,444,yes,no,cellular,130
41,management,married,secondary,no,0,no,yes,cellular,630
32,technician,single,tertiary,no,360,no,no,cellular,164
37,management,married,tertiary,no,0,no,no,cellular,268
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,380
31,management,single,tertiary,no,6248,yes,no,unknown,154
41,services,married,tertiary,no,412,yes,no,unknown,154
56,retired,married,secondary,no,344,yes,no,unknown,221
54,management,divorced,tertiary,no,3222,no,no,cellular,67
41,boogieman,divorced,secondary,no,174,yes,no,cellular,367
40,technician,single,secondary,no,591,no,yes,cellular,87
50,boogieman,divorced,primary,no,388,no,no,cellular,701
40,unemployed,married,secondary,no,219,yes,no,cellular,204
27,admin.,divorced,secondary,no,451,yes,no,cellular,652
60,retired,married,primary,no,5,no,no,cellular,63
28,admin.,single,secondary,no,177,yes,yes,cellular,150
52,services,married,secondary,no,657,no,no,telephone,398
37,management,married,tertiary,no,1315,no,no,cellular,224
51,boogieman,married,primary,no,1466,yes,no,unknown,406
41,technician,single,secondary,no,879,no,yes,cellular,60
35,boogieman,single,primary,no,293,yes,no,unknown,521
38,admin.,married,secondary,no,424,yes,no,cellular,279
34,boogieman,married,secondary,no,1831,yes,no,unknown,203
39,boogieman,married,primary,no,111,no,no,cellular,201
34,boogieman,married,primary,no,455,yes,no,unknown,372
27,services,single,secondary,no,-195,yes,no,cellular,391
32,management,single,tertiary,no,3616,no,no,cellular,165
57,boogieman,married,secondary,no,14093,no,no,cellular,231
41,unknown,single,tertiary,no,1567,no,no,cellular,291
41,admin.,married,tertiary,no,5426,yes,no,unknown,149
30,admin.,single,tertiary,no,261,no,no,cellular,233
36,boogieman,divorced,secondary,no,2843,no,no,cellular,473
31,unemployed,single,primary,no,406,no,no,cellular,736
36,boogieman,married,secondary,no,0,yes,no,unknown,337
38,management,single,tertiary,no,493,yes,no,cellular,553
49,technician,married,secondary,no,5996,no,no,telephone,345
57,services,single,primary,no,3777,yes,no,telephone,65
34,management,single,secondary,no,524,no,no,unknown,9
32,management,single,tertiary,no,574,yes,no,cellular,259
37,boogieman,married,secondary,no,427,yes,yes,unknown,371
33,self-employed,married,tertiary,no,483,yes,no,cellular,280
56,unemployed,married,primary,no,3391,no,no,cellular,243
27,housemaid,married,primary,no,0,yes,no,cellular,435
21,student,single,secondary,no,2488,no,no,cellular,258
58,management,married,tertiary,no,1517,yes,no,telephone,7
32,self-employed,married,secondary,no,217,yes,yes,cellular,317
33,boogieman,single,secondary,no,22,no,no,cellular,76
25,student,single,secondary,no,331,no,no,telephone,170
144,technician,single,secondary,no,505,no,yes,cellular,386
30,services,married,secondary,no,1808,yes,no,cellular,83
22,admin.,single,secondary,no,4111,no,yes,cellular,65
39,boogieman,married,primary,no,52,no,no,cellular,69
46,management,divorced,tertiary,no,25,no,no,unknown,564
31,admin.,divorced,secondary,no,1890,yes,no,cellular,588
45,boogieman,married,primary,no,419,no,no,cellular,113
32,technician,married,secondary,no,2693,yes,no,unknown,16
36,boogieman,married,secondary,no,-231,no,yes,cellular,779
51,management,single,tertiary,yes,-55,yes,no,cellular,281
34,self-employed,single,tertiary,no,462,no,no,cellular,1877
24,unemployed,single,secondary,no,119,no,no,unknown,51
45,technician,single,secondary,no,586,no,yes,cellular,32
32,boogieman,single,secondary,no,228,no,no,telephone,176
77,retired,divorced,tertiary,no,4659,no,no,cellular,161
41,boogieman,married,primary,no,168,yes,no,cellular,187
37,boogieman,married,primary,no,0,yes,no,unknown,24
43,boogieman,married,unknown,yes,-715,yes,no,unknown,67
48,admin.,married,unknown,no,0,yes,no,cellular,85
27,technician,single,secondary,no,769,yes,no,unknown,317
33,management,single,tertiary,no,0,no,no,cellular,236
29,admin.,single,secondary,no,428,yes,yes,cellular,54
34,management,single,tertiary,no,0,no,no,cellular,71
52,management,married,tertiary,no,-970,yes,no,cellular,489
60,management,married,unknown,no,6313,no,no,unknown,39
32,management,divorced,tertiary,no,948,no,no,cellular,204
32,management,single,tertiary,no,0,yes,no,cellular,455
56,services,divorced,unknown,no,1877,yes,no,unknown,86
31,management,single,tertiary,no,874,yes,no,cellular,190
42,admin.,married,secondary,no,323,yes,yes,unknown,280
35,management,married,tertiary,no,106,no,yes,cellular,588
56,retired,married,primary,no,1906,no,yes,unknown,45
48,technician,married,secondary,no,1152,yes,no,cellular,168
46,admin.,married,secondary,no,179,yes,no,cellular,194
37,technician,single,unknown,no,391,yes,no,unknown,103
41,entrepreneur,married,unknown,no,89,yes,no,unknown,333
36,management,single,tertiary,no,442,yes,yes,cellular,102
45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,92
55,entrepreneur,married,secondary,no,8104,no,no,cellular,213
39,technician,married,secondary,no,501,no,no,unknown,289
35,technician,divorced,secondary,no,308,no,no,cellular,77
55,admin.,married,secondary,no,602,no,no,cellular,324
55,technician,married,secondary,no,273,yes,no,cellular,84
27,self-employed,single,secondary,no,50,no,no,cellular,168
34,technician,married,secondary,no,1641,yes,no,cellular,380
34,boogieman,married,tertiary,no,20,no,no,unknown,10
25,admin.,single,secondary,no,4590,yes,no,unknown,199
41,admin.,single,secondary,no,-256,no,yes,unknown,35
43,services,married,secondary,no,978,yes,yes,unknown,82
28,management,single,tertiary,no,80,no,no,cellular,676
31,admin.,single,secondary,no,2104,yes,no,unknown,455
78,housemaid,married,secondary,no,499,no,no,telephone,80
45,boogieman,divorced,secondary,no,1269,yes,no,cellular,549
48,technician,married,tertiary,no,310,no,no,unknown,135
32,boogieman,single,secondary,no,1143,yes,yes,cellular,412
42,technician,married,secondary,no,2980,no,no,unknown,101
37,management,single,tertiary,no,37,no,no,cellular,253
40,admin.,single,secondary,no,462,yes,yes,cellular,272
32,admin.,married,secondary,no,1031,yes,no,cellular,84
42,management,married,tertiary,no,9009,no,no,cellular,135
43,admin.,married,secondary,no,-465,yes,yes,cellular,166
44,admin.,married,secondary,no,5181,yes,yes,cellular,18
37,admin.,married,secondary,no,176,yes,no,cellular,147
37,unknown,married,unknown,no,1699,no,no,unknown,63
37,admin.,married,tertiary,no,0,yes,no,cellular,65
28,technician,single,tertiary,no,172,yes,yes,cellular,194
32,services,single,secondary,no,0,no,yes,cellular,333
34,admin.,single,secondary,no,6979,yes,no,cellular,14
40,admin.,divorced,secondary,no,6,no,no,unknown,140
34,services,married,secondary,no,-62,yes,no,unknown,109
34,self-employed,married,tertiary,no,1972,yes,no,cellular,61
34,admin.,married,tertiary,no,899,yes,no,telephone,377
37,services,single,secondary,no,21,yes,no,cellular,96
36,technician,married,secondary,no,23,yes,no,cellular,152
56,retired,married,secondary,no,-1206,yes,no,cellular,382
49,boogieman,married,primary,no,0,yes,yes,telephone,97
33,self-employed,married,secondary,no,215,yes,no,cellular,543
132,management,single,tertiary,no,1372,no,no,cellular,240
36,services,married,secondary,no,1981,no,no,unknown,48
23,student,single,secondary,no,9216,no,no,cellular,471
57,retired,divorced,secondary,no,39,yes,no,cellular,354
27,boogieman,single,secondary,no,5563,yes,no,unknown,435
38,services,married,secondary,no,1,no,yes,cellular,152
42,technician,married,tertiary,no,782,no,no,cellular,285
75,retired,married,secondary,no,3771,no,no,telephone,185
34,technician,single,tertiary,no,992,yes,no,cellular,301
48,technician,married,secondary,no,1526,no,no,cellular,273
35,technician,single,tertiary,no,2658,yes,no,cellular,768
39,management,divorced,tertiary,no,1315,yes,no,cellular,1337
29,boogieman,single,tertiary,no,455,no,no,telephone,403
45,technician,single,tertiary,no,0,yes,no,cellular,139
42,technician,married,secondary,no,2030,yes,yes,cellular,196
29,technician,married,Duck,no,1599,yes,no,cellular,115
38,services,single,secondary,no,-196,yes,no,cellular,60
56,retired,married,secondary,no,1333,no,no,cellular,17
36,technician,single,secondary,no,9149,yes,no,cellular,141
25,boogieman,single,secondary,no,-350,yes,no,unknown,95
38,technician,married,tertiary,no,432,yes,no,cellular,10
57,self-employed,married,secondary,no,11494,no,no,cellular,198
31,management,married,tertiary,yes,-253,no,no,cellular,220
42,management,married,tertiary,no,372,yes,no,cellular,654
45,technician,married,secondary,no,1410,no,no,cellular,71
30,boogieman,married,secondary,no,975,yes,no,cellular,256
49,boogieman,married,primary,no,305,yes,yes,telephone,834
49,services,married,secondary,no,400,no,no,cellular,151
53,retired,married,tertiary,no,-22,yes,no,cellular,20
37,technician,married,secondary,no,4030,yes,no,unknown,178
49,boogieman,married,primary,no,365,no,no,unknown,59
41,self-employed,married,primary,no,204,no,no,cellular,111
54,management,married,primary,no,1691,yes,no,cellular,186
32,services,single,secondary,no,406,yes,no,unknown,227
33,technician,married,secondary,no,-204,no,no,cellular,297
33,technician,married,secondary,no,359,yes,no,cellular,210
36,boogieman,married,primary,no,123,yes,no,cellular,9
35,technician,married,tertiary,no,0,yes,yes,cellular,112
52,unknown,married,secondary,no,142,no,no,cellular,112
40,entrepreneur,married,tertiary,no,3571,no,no,unknown,222
44,technician,single,secondary,no,33,yes,no,cellular,195
45,boogieman,single,secondary,no,0,yes,no,cellular,768
30,student,single,secondary,no,3096,no,no,cellular,123
48,technician,divorced,secondary,yes,20,no,no,cellular,145
33,boogieman,married,secondary,no,3576,yes,no,cellular,124
57,technician,married,unknown,no,206,yes,no,unknown,216
57,housemaid,married,primary,no,7082,no,no,unknown,69
51,unemployed,married,tertiary,no,1634,yes,no,cellular,168
34,admin.,single,secondary,no,1,yes,no,cellular,483
50,self-employed,married,tertiary,no,4012,no,no,cellular,690
44,management,married,tertiary,no,3762,no,no,cellular,125
27,admin.,married,secondary,no,-247,yes,yes,unknown,344
50,boogieman,married,secondary,no,606,yes,no,unknown,673
36,management,married,tertiary,no,0,yes,no,cellular,60
42,management,married,secondary,no,-189,yes,no,unknown,247
32,unemployed,single,secondary,no,0,no,no,cellular,123
42,management,married,tertiary,no,484,yes,no,cellular,144
43,technician,married,secondary,no,0,no,yes,cellular,9
31,management,married,tertiary,no,395,yes,no,cellular,155
32,management,married,tertiary,no,2349,no,no,cellular,134
55,boogieman,divorced,primary,no,410,no,yes,cellular,221
58,retired,married,primary,no,3401,yes,no,cellular,84
46,boogieman,married,primary,no,222,no,no,cellular,71
55,boogieman,married,secondary,no,989,yes,yes,unknown,246
34,management,married,tertiary,no,415,no,yes,cellular,361
28,unemployed,single,secondary,no,16,no,no,cellular,119
42,technician,divorced,tertiary,no,7190,yes,no,cellular,375
29,boogieman,single,secondary,no,482,no,yes,cellular,1097
54,housemaid,married,secondary,no,209,yes,yes,cellular,97
32,technician,single,secondary,no,0,no,no,cellular,181
39,technician,single,tertiary,no,5803,no,no,cellular,83
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,180
58,technician,married,tertiary,no,883,no,no,cellular,543
40,self-employed,married,secondary,no,1516,yes,yes,unknown,373
29,student,single,secondary,no,872,yes,no,unknown,230
33,technician,married,tertiary,no,-988,yes,yes,cellular,83
38,admin.,single,secondary,no,902,yes,no,telephone,58
56,services,divorced,secondary,no,1007,no,no,cellular,88
40,services,married,secondary,no,0,yes,no,cellular,297
24,boogieman,single,secondary,no,174,yes,yes,cellular,487
46,management,married,secondary,no,12186,no,no,unknown,29
192,self-employed,married,secondary,no,524,yes,no,cellular,484
35,boogieman,single,tertiary,no,0,yes,no,cellular,262
34,technician,married,secondary,no,4,yes,no,unknown,644
35,housemaid,married,tertiary,no,11219,no,no,cellular,699
38,technician,single,tertiary,no,0,no,no,cellular,247
50,boogieman,married,primary,no,5776,no,no,cellular,49
51,boogieman,divorced,primary,no,37,yes,no,cellular,341
59,self-employed,married,tertiary,no,593,no,no,unknown,64
32,boogieman,married,secondary,no,1148,yes,no,cellular,121
37,boogieman,single,secondary,no,3561,yes,no,unknown,98
42,admin.,divorced,secondary,no,63,no,no,unknown,88
40,student,married,secondary,no,260,no,no,unknown,197
28,technician,single,tertiary,no,2269,yes,no,unknown,331
47,admin.,married,secondary,no,1060,yes,no,unknown,83
27,self-employed,married,secondary,no,-220,yes,no,unknown,138
41,management,married,tertiary,no,49,yes,no,cellular,312
34,admin.,married,tertiary,no,69,no,yes,cellular,120
50,boogieman,married,primary,no,4108,yes,no,cellular,526
47,boogieman,married,secondary,no,480,yes,no,unknown,211
53,services,married,secondary,no,4994,no,no,cellular,62
53,technician,divorced,secondary,no,0,yes,yes,cellular,135
47,management,married,tertiary,no,3681,no,no,cellular,101
49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,988
29,management,married,tertiary,no,451,no,no,cellular,451
45,boogieman,divorced,primary,no,-311,yes,no,unknown,1030
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,1484
32,boogieman,married,secondary,no,759,yes,no,cellular,317
70,retired,divorced,primary,no,4531,no,no,cellular,445
65,retired,divorced,primary,no,1840,no,no,cellular,383
56,boogieman,married,secondary,no,345,yes,no,telephone,605
35,boogieman,married,secondary,no,1287,yes,no,cellular,330
56,management,married,unknown,no,353,no,yes,cellular,171
56,technician,married,secondary,no,205,no,yes,cellular,442
49,entrepreneur,married,secondary,no,687,yes,no,cellular,772
38,unemployed,married,primary,no,1147,yes,yes,unknown,249
35,management,married,tertiary,no,4286,yes,no,unknown,357
38,admin.,married,tertiary,no,605,no,no,cellular,147
49,boogieman,married,secondary,no,8545,yes,yes,cellular,199
55,management,married,unknown,no,559,no,no,cellular,271
43,boogieman,single,primary,no,2,yes,no,cellular,783
43,management,married,tertiary,no,2,no,yes,cellular,472
25,admin.,single,tertiary,no,760,yes,no,cellular,223
30,boogieman,married,primary,no,1317,yes,no,unknown,395
46,boogieman,married,secondary,no,182,no,no,cellular,56
50,admin.,married,primary,no,276,no,yes,unknown,641
35,entrepreneur,married,secondary,no,2971,no,no,cellular,429
26,unemployed,single,secondary,no,1064,no,no,unknown,113
45,admin.,married,unknown,no,1783,no,no,unknown,11
37,boogieman,married,secondary,no,-67,no,no,cellular,157
60,self-employed,single,tertiary,no,179,no,yes,cellular,79
38,management,married,tertiary,no,1199,no,no,cellular,178
47,boogieman,married,primary,no,214,yes,yes,unknown,168
33,technician,married,secondary,no,6699,no,no,cellular,425
51,unemployed,married,secondary,no,1760,no,yes,cellular,162
35,entrepreneur,single,tertiary,no,145,yes,no,cellular,799
35,unemployed,married,secondary,no,978,no,no,cellular,1370
48,admin.,single,secondary,no,1150,yes,no,unknown,357
37,admin.,married,secondary,no,121,no,no,cellular,22
29,technician,single,tertiary,no,828,yes,no,cellular,215
34,admin.,married,secondary,no,244,yes,no,cellular,56
32,services,married,primary,no,228,yes,no,cellular,1017
30,management,single,tertiary,no,424,no,no,cellular,298
47,management,divorced,tertiary,no,447,no,yes,unknown,126
33,boogieman,married,primary,no,-195,no,no,unknown,9
33,management,single,tertiary,no,1410,yes,no,cellular,8
63,retired,married,primary,no,1084,no,no,cellular,201
51,self-employed,divorced,primary,no,10924,no,no,cellular,106
41,management,married,tertiary,no,832,yes,yes,cellular,164
56,retired,married,tertiary,no,478,no,no,cellular,97
60,management,single,tertiary,no,0,no,yes,cellular,151
41,self-employed,single,tertiary,no,3950,yes,no,unknown,96
37,management,single,unknown,no,504,yes,no,cellular,555
36,boogieman,single,secondary,no,219,yes,yes,cellular,270
57,management,married,tertiary,no,1602,no,no,cellular,339
55,management,married,primary,no,2587,no,no,cellular,328
44,admin.,married,secondary,no,0,yes,yes,unknown,159
47,self-employed,married,tertiary,no,2303,yes,no,cellular,323
31,boogieman,married,secondary,no,1660,yes,no,cellular,342
35,management,married,tertiary,yes,32,yes,no,cellular,180
39,management,married,tertiary,no,278,no,yes,cellular,60
50,management,married,tertiary,no,4,no,no,cellular,223
29,management,married,tertiary,no,318,yes,no,cellular,1434
30,services,single,secondary,no,209,yes,no,unknown,30
46,services,married,secondary,no,271,yes,no,unknown,134
27,management,single,unknown,no,3196,no,no,cellular,10
48,admin.,divorced,secondary,no,4099,no,no,cellular,397
26,student,single,secondary,no,2572,yes,no,cellular,620
36,management,single,tertiary,no,339,no,no,cellular,6
42,boogieman,married,primary,no,0,yes,yes,cellular,209
50,housemaid,married,primary,no,395,yes,no,unknown,419
49,boogieman,married,secondary,no,2039,yes,no,cellular,283
45,management,married,tertiary,no,5450,no,no,cellular,188
23,student,single,secondary,no,780,no,no,cellular,267
38,technician,single,secondary,no,0,yes,no,cellular,196
32,management,single,tertiary,no,8436,yes,no,cellular,245
60,technician,single,primary,no,11262,no,no,cellular,323
30,entrepreneur,married,secondary,no,946,yes,no,cellular,1065
58,housemaid,married,tertiary,no,497,no,no,unknown,138
60,retired,married,primary,no,55,no,no,cellular,207
38,services,married,secondary,no,-140,no,no,unknown,456
51,technician,married,secondary,no,-379,yes,no,cellular,261
42,admin.,married,secondary,no,-396,yes,no,cellular,80
30,services,single,secondary,no,0,yes,no,cellular,131
40,management,married,primary,no,733,yes,no,unknown,94
37,management,married,tertiary,no,393,yes,no,cellular,567
53,technician,divorced,primary,no,7290,yes,no,unknown,153
27,services,single,secondary,no,468,yes,no,cellular,109
39,boogieman,married,secondary,no,0,yes,no,cellular,53
39,boogieman,married,primary,no,3705,yes,no,unknown,77
59,retired,married,tertiary,no,9676,no,no,telephone,234
37,services,married,secondary,no,1328,yes,no,telephone,121
41,boogieman,married,primary,no,8,yes,no,cellular,155
45,boogieman,married,primary,no,61,no,no,cellular,108
48,management,married,tertiary,no,6613,no,no,unknown,159
48,technician,married,secondary,no,302,yes,no,unknown,208
32,boogieman,married,secondary,no,1005,no,no,cellular,215
35,services,married,secondary,no,109,yes,no,unknown,597
33,management,single,tertiary,no,1240,yes,no,cellular,505
28,boogieman,single,primary,no,0,yes,yes,unknown,380
64,retired,married,unknown,no,2923,no,no,cellular,120
35,technician,married,secondary,no,0,no,no,cellular,106
33,boogieman,married,secondary,no,43,yes,no,cellular,332
41,technician,married,secondary,no,288,yes,no,unknown,221
34,admin.,married,secondary,no,613,yes,no,cellular,80
37,technician,single,tertiary,no,6101,no,no,cellular,60
38,boogieman,married,primary,no,168,yes,yes,telephone,212
39,boogieman,married,primary,no,7685,yes,no,cellular,493
35,technician,divorced,tertiary,no,4515,yes,no,cellular,98
28,boogieman,single,secondary,no,517,no,yes,cellular,681
27,boogieman,single,secondary,no,148,no,no,cellular,203
48,retired,married,primary,yes,-285,no,yes,cellular,157
50,boogieman,married,secondary,no,887,no,no,unknown,287
45,self-employed,married,secondary,no,3098,yes,no,cellular,159
41,technician,married,tertiary,no,744,yes,no,unknown,125
39,technician,married,secondary,no,130,no,no,cellular,202
44,management,married,secondary,no,438,yes,no,telephone,37
54,admin.,married,secondary,no,0,no,no,cellular,161
49,management,married,tertiary,no,322,no,no,cellular,72
34,boogieman,single,secondary,no,186,no,no,cellular,342
75,retired,divorced,tertiary,no,3810,yes,no,cellular,262
42,management,married,tertiary,no,0,no,no,cellular,325
53,boogieman,married,secondary,no,4380,no,no,telephone,223
49,management,divorced,tertiary,no,755,no,no,cellular,1212
31,services,single,secondary,no,2070,no,no,cellular,319
45,boogieman,single,primary,no,999,no,no,cellular,182
39,self-employed,married,secondary,no,167,yes,yes,cellular,330
46,technician,married,secondary,no,1322,yes,yes,cellular,514
42,admin.,divorced,secondary,no,1076,yes,no,unknown,213
37,management,married,tertiary,no,502,yes,no,cellular,551
26,technician,single,tertiary,no,1216,yes,no,cellular,472
37,management,single,tertiary,no,876,yes,no,cellular,140
36,services,single,secondary,no,342,yes,no,unknown,142
29,boogieman,single,primary,no,950,yes,no,unknown,135
36,boogieman,married,primary,no,973,yes,yes,unknown,293
26,technician,married,tertiary,no,3825,yes,no,unknown,107
32,boogieman,married,secondary,no,2366,yes,no,unknown,127
40,management,married,tertiary,no,542,yes,no,cellular,1816
53,management,married,primary,no,995,no,no,cellular,200
29,management,married,tertiary,no,20,yes,no,cellular,418
34,technician,single,tertiary,no,228,yes,no,cellular,387
43,boogieman,married,secondary,no,130,no,no,cellular,156
56,management,married,tertiary,no,217,no,yes,cellular,121
55,entrepreneur,divorced,tertiary,no,0,no,no,unknown,108
31,self-employed,married,tertiary,no,259,yes,no,cellular,47
27,admin.,single,secondary,no,619,yes,no,cellular,16
36,management,married,secondary,no,644,yes,no,cellular,54
44,management,married,tertiary,no,22,yes,no,cellular,265
37,admin.,divorced,tertiary,no,4303,yes,no,unknown,168
30,admin.,single,secondary,no,239,yes,no,cellular,115
42,technician,single,secondary,no,275,no,no,cellular,31
30,management,married,tertiary,no,1221,yes,no,telephone,279
62,retired,married,secondary,no,816,no,no,cellular,28
24,boogieman,married,secondary,no,1222,yes,no,cellular,369
31,technician,married,secondary,no,2363,yes,no,unknown,247
66,retired,married,tertiary,no,2262,no,no,cellular,155
47,admin.,married,secondary,no,2,no,no,cellular,89
39,entrepreneur,married,tertiary,no,2,yes,no,cellular,180
35,technician,married,secondary,no,4508,yes,no,cellular,854
35,admin.,divorced,secondary,no,-402,yes,no,cellular,46
27,technician,married,secondary,no,1577,yes,yes,unknown,266
32,boogieman,married,secondary,no,34,yes,no,cellular,321
44,management,married,tertiary,no,795,no,no,cellular,99
42,boogieman,married,secondary,no,117,yes,no,unknown,147
34,self-employed,single,tertiary,no,5462,no,no,cellular,430
25,services,single,secondary,no,402,no,yes,cellular,264
40,technician,single,secondary,no,641,no,no,cellular,156
43,management,divorced,tertiary,no,36,no,no,cellular,118
55,unemployed,married,tertiary,no,383,no,no,unknown,343
50,boogieman,married,secondary,no,283,yes,no,cellular,226
45,management,divorced,tertiary,no,0,no,no,unknown,5
35,boogieman,divorced,secondary,no,3102,yes,no,cellular,138
32,boogieman,married,secondary,no,889,yes,no,cellular,185
59,housemaid,married,secondary,no,0,no,no,telephone,722
34,self-employed,married,secondary,no,-370,yes,no,unknown,748
39,management,married,tertiary,no,-606,yes,no,unknown,142
40,management,single,secondary,no,10378,yes,no,cellular,523
36,boogieman,single,primary,no,1313,yes,no,unknown,8
40,management,married,tertiary,no,8969,yes,no,cellular,153
55,self-employed,married,secondary,no,-196,yes,no,unknown,210
38,entrepreneur,married,secondary,yes,15,yes,no,cellular,-999
61,admin.,married,secondary,no,4608,no,no,cellular,-999
41,management,married,tertiary,no,666,yes,no,unknown,-999
57,boogieman,married,primary,no,452,yes,no,unknown,-999
48,boogieman,married,secondary,no,149,yes,no,unknown,-999
77,retired,married,tertiary,no,7802,no,no,telephone,-999
35,services,married,secondary,no,1453,yes,no,unknown,199
54,boogieman,married,secondary,no,1480,yes,no,unknown,108
37,management,single,unknown,no,715,yes,no,unknown,247
56,management,single,secondary,no,237,yes,no,telephone,236
40,technician,married,secondary,no,694,yes,no,cellular,97
40,management,married,tertiary,no,0,no,no,cellular,109
54,management,married,tertiary,no,55,yes,no,cellular,112
55,housemaid,married,primary,no,136,yes,no,unknown,15
55,services,divorced,secondary,yes,-404,yes,no,cellular,502
52,boogieman,married,primary,no,779,yes,no,unknown,30
55,boogieman,single,primary,no,1187,yes,no,unknown,193
33,management,married,tertiary,no,641,yes,no,cellular,347
52,boogieman,married,unknown,no,826,yes,no,unknown,468
33,services,divorced,secondary,no,991,yes,no,unknown,148
53,admin.,married,secondary,no,1796,no,no,telephone,295
46,admin.,married,secondary,no,22,no,no,cellular,388
44,technician,single,secondary,no,244,yes,no,cellular,1735
48,management,divorced,tertiary,no,1328,yes,no,unknown,339
50,housemaid,married,secondary,no,7317,yes,no,cellular,172
34,technician,single,secondary,no,4943,yes,yes,cellular,117
38,technician,single,secondary,no,258,no,yes,unknown,587
42,management,single,tertiary,no,515,yes,no,cellular,501
32,management,single,tertiary,no,12607,no,no,cellular,203
58,admin.,married,secondary,no,2,yes,yes,telephone,282
31,management,married,tertiary,no,13,no,no,cellular,110
19,student,single,primary,no,103,no,no,cellular,104
41,management,married,tertiary,no,3872,no,no,cellular,231
31,unemployed,married,secondary,no,296,yes,no,unknown,378
52,self-employed,single,primary,no,217,no,yes,cellular,193
42,self-employed,divorced,tertiary,no,360,yes,no,unknown,110
41,boogieman,single,secondary,no,428,yes,no,cellular,92
30,boogieman,single,secondary,no,315,no,no,cellular,1407
38,boogieman,married,secondary,no,121,yes,yes,cellular,168
32,management,married,tertiary,no,820,yes,no,cellular,738
52,technician,married,secondary,no,195,yes,no,cellular,220
